,Car_name,Year,Price,Location,Status,Ratings,Mileage
2431,Hyundai Accent,2018,"₦ 3,515,000","Victoria Island, Lagos",Locally Used,4.8,"26,010 km"
2432,Toyota Camry,2012,"₦ 4,715,000","Festac, Lagos",Foreign Used,4.8,"124,168 km"
2433,Toyota Corolla,2009,"₦ 3,365,000","Festac, Lagos",Foreign Used,5.0,"106,466 km"
2434,Lexus ES 350,2014,"₦ 8,915,000","Festac, Lagos",Foreign Used,4.8,"118,238 km"
2435,Toyota Camry,2004,"₦ 2,415,000","Ikeja, Lagos",Foreign Used,4.5,"147,456 km"
2436,Toyota Camry,2009,"₦ 3,115,000","Agidingbi, Lagos",Foreign Used,4.4,"97,782 km"
2437,Toyota Corolla,2010,"₦ 3,915,000","Ikeja, Lagos",Foreign Used,4.6,"114,154 km"
2438,Toyota Corolla,2005,"₦ 2,865,000","Kubwa Express, Abuja",Foreign Used,4.0,"243,665 km"
2439,Toyota Camry,2008,"₦ 3,765,000","Festac, Lagos",Foreign Used,4.8,"127,305 km"
2440,Toyota Corolla,2007,"₦ 2,765,000","Gwarinpa, Abuja",Foreign Used,5.0,"102,211 km"
2441,GAC GS8,2018,"₦ 8,315,000","Gwarinpa, Abuja",Foreign Used,5.0,"85,411 km"
2442,Toyota Corolla,2009,"₦ 3,615,000","Gwarinpa, Abuja",Foreign Used,5.0,"51,001 km"
2443,Toyota Highlander,2013,"₦ 8,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"136,889 km"
2444,Toyota Camry,2013,"₦ 5,015,000","Ikeja, Lagos",Foreign Used,4.6,"136,504 km"
2445,Mercedes-Benz ML 350,2015,"₦ 13,815,000","Igando, Lagos",Foreign Used,5.0,"31,271 km"
2446,Lexus GX 470,2007,"₦ 7,615,000","Aba Road, Port Harcourt",Foreign Used,4.6,"32,159 km"
2447,Lexus RX 350,2020,"₦ 27,015,000","Ikate, Lekki, Lagos",Foreign Used,5.0,"20,507 km"
2448,Toyota Camry,2014,"₦ 6,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"132,427 km"
2449,Lexus RX 350,2020,"₦ 27,015,000","Ikate, Lekki, Lagos",Foreign Used,5.0,"20,507 km"
2450,Toyota Camry,2014,"₦ 5,665,000","Berger Mkt, Lagos",Foreign Used,5.0,"161,897 km"
2451,Mercedes-Benz C 300,2015,"₦ 10,515,000","Oshodi, Lagos",Foreign Used,4.7,"59,639 km"
2452,Mercedes-Benz ML 350,2006,"₦ 2,640,000","Egbeda, Lagos",Locally Used,4.8,"136,330 km"
2453,Acura RDX,2010,"₦ 3,165,000","Egbeda, Lagos",Foreign Used,4.9,"12,356 km"
2454,Lexus RX 300,2001,"₦ 2,640,000","Egbeda, Lagos",Foreign Used,4.8,"216,620 km"
2455,Toyota Camry,2009,"₦ 3,375,000","Alimosho, Lagos",Foreign Used,4.9,"215,141 km"
2456,Toyota Corolla,2005,"₦ 2,415,000","Alimosho, Lagos",Foreign Used,4.8,"165,156 km"
2457,Lexus IS 250,2006,"₦ 3,365,000","Alimosho, Lagos",Foreign Used,4.8,"76,574 km"
2458,Lexus ES 350,2008,"₦ 4,425,000","Alimosho, Lagos",Foreign Used,4.9,"95,381 km"
2459,Honda Pilot,2005,"₦ 1,485,000","Alimosho, Lagos",Locally Used,4.8,"171,744 km"
2460,Lexus RX 330,2005,"₦ 4,425,000","Alimosho, Lagos",Foreign Used,4.8,"98,886 km"
2461,Toyota RAV 4,2010,"₦ 4,315,000","Oshodi, Lagos",Foreign Used,4.3,"88,655 km"
2462,Toyota Camry,2007,"₦ 3,165,000","Isolo, Lagos",Foreign Used,4.6,"210,120 km"
